Innings Player,Innings Boundary Sixes,Innings Date,Country
Umar Akmal,0,2010/05/08,Pakistan
Misbah-ul-Haq,0,2010/05/14,Pakistan
Shahzaib Hasan,0,2010/07/05,Pakistan
Shahid Afridi,0,2010/07/05,Pakistan
Shahzaib Hasan,0,2010/07/06,Pakistan
Umar Gul,0,2010/07/06,Pakistan
Shoaib Akhtar,0,2010/07/06,Pakistan
Fawad Alam,0,2010/09/07,Pakistan
Umar Gul,0,2010/10/26,Pakistan
Umar Gul,0,2010/10/27,Pakistan
Umar Akmal,0,2010/12/26,Pakistan
Umar Gul,0,2010/12/28,Pakistan
Misbah-ul-Haq,0,2011/04/21,Pakistan
Umar Akmal,0,2011/11/25,Pakistan
Umar Akmal,0,2012/02/23,Pakistan
Mohammad Hafeez,0,2012/02/25,Pakistan
Saeed Ajmal,0,2012/02/25,Pakistan
Mohammad Hafeez,0,2012/02/27,Pakistan
Mohammad Hafeez,0,2012/06/01,Pakistan
Shakeel Ansar,0,2012/06/01,Pakistan
Imran Nazir,0,2012/09/07,Pakistan
Shoaib Malik,0,2012/09/10,Pakistan
Kamran Akmal,0,2012/09/10,Pakistan
Nasir Jamshed,0,2012/09/28,Pakistan
Shahid Afridi,0,2012/09/28,Pakistan
Shahid Afridi,0,2012/10/04,Pakistan
Umar Akmal,0,2012/12/25,Pakistan
Saeed Ajmal,0,2013/07/27,Pakistan
Sohail Tanvir,0,2013/07/28,Pakistan
Ahmed Shehzad,0,2013/11/13,Pakistan
Mohammad Hafeez,0,2013/11/13,Pakistan
Sohail Tanvir,0,2013/11/13,Pakistan
Saeed Ajmal,0,2013/11/13,Pakistan
Mohammad Hafeez,0,2013/11/15,Pakistan
Abdul Razzaq,0,2013/11/15,Pakistan
Umar Akmal,0,2013/12/13,Pakistan
Umar Amin,0,2013/12/13,Pakistan
Bilawal Bhatti,0,2013/12/13,Pakistan
Umar Akmal,0,2014/03/30,Pakistan
Ahmed Shehzad,0,2014/04/01,Pakistan
Kamran Akmal,0,2014/04/01,Pakistan
Umar Amin,0,2014/10/05,Pakistan
Sohaib Maqsood,0,2014/10/05,Pakistan
Umar Gul,0,2014/12/05,Pakistan
Wahab Riaz,0,2015/09/27,Pakistan
Shahid Afridi,0,2015/11/26,Pakistan
Imran Khan (1),0,2015/11/26,Pakistan
Rafatullah Mohmand,0,2015/11/30,Pakistan
Sohaib Maqsood,0,2016/01/15,Pakistan
Imad Wasim,0,2016/01/22,Pakistan
Khurram Manzoor,0,2016/02/29,Pakistan
Shahid Afridi,0,2016/03/02,Pakistan
Umar Akmal,0,2016/03/16,Pakistan
Imad Wasim,0,2016/03/25,Pakistan
Wahab Riaz,0,2016/03/25,Pakistan
Kamran Akmal,0,2017/03/30,Pakistan
Imad Wasim,0,2017/04/01,Pakistan
Sarfaraz Ahmed,0,2017/09/13,Pakistan
Imad Wasim,0,2017/09/15,Pakistan
Umar Amin,0,2018/01/22,Pakistan
Shadab Khan,0,2018/01/22,Pakistan
Faheem Ashraf,0,2018/01/25,Pakistan
Asif Ali,0,2018/06/13,Pakistan
Mohammad Hafeez,0,2018/07/02,Pakistan
Hasan Ali,0,2018/07/02,Pakistan
Haris Sohail,0,2018/07/05,Pakistan
Faheem Ashraf,0,2018/07/05,Pakistan
Sahibzada Farhan,0,2018/07/08,Pakistan
Hussain Talat,0,2018/07/08,Pakistan
Faheem Ashraf,0,2018/10/24,Pakistan
Sarfaraz Ahmed,0,2018/10/24,Pakistan
Imad Wasim,0,2018/10/24,Pakistan
Hasan Ali,0,2018/10/26,Pakistan
Faheem Ashraf,0,2018/10/28,Pakistan
Mohammad Amir,0,2019/02/06,Pakistan
Umar Akmal,0,2019/10/05,Pakistan
Umar Akmal,0,2019/10/07,Pakistan
Shadab Khan,0,2019/10/07,Pakistan
Fakhar Zaman,0,2019/10/09,Pakistan
Fakhar Zaman,0,2019/11/03,Pakistan
Imad Wasim,0,2019/11/03,Pakistan
Mohammad Rizwan,0,2019/11/08,Pakistan
Babar Azam,0,2020/01/24,Pakistan
Ahsan Ali,0,2020/01/25,Pakistan
Mohammad Asif,-,2006/08/28,Pakistan
Kamran Akmal,-,2006/08/28,Pakistan
Naved-ul-Hasan,-,2006/08/28,Pakistan
Shoaib Akhtar,-,2006/08/28,Pakistan
Shabbir Ahmed,-,2007/02/02,Pakistan
Mohammad Asif,-,2007/09/02,Pakistan
Iftikhar Anjum,-,2007/09/02,Pakistan
Kamran Akmal,-,2007/09/04,Pakistan
Shoaib Akhtar,-,2007/09/04,Pakistan
Younis Khan,-,2007/09/04,Pakistan
Imran Nazir,-,2007/09/04,Pakistan
Abdur Rehman,-,2007/09/04,Pakistan
Umar Gul,-,2007/09/04,Pakistan
Salman Butt,-,2007/09/04,Pakistan
Mohammad Asif,-,2007/09/12,Pakistan
Umar Gul,-,2007/09/14,Pakistan
Sohail Tanvir,-,2007/09/14,Pakistan
Mohammad Asif,-,2007/09/14,Pakistan
Sohail Tanvir,-,2007/09/17,Pakistan
Mohammad Asif,-,2007/09/17,Pakistan
Umar Gul,-,2007/09/17,Pakistan
Kamran Akmal,-,2007/09/18,Pakistan
Mohammad Asif,-,2007/09/18,Pakistan
Shahid Afridi,-,2007/09/18,Pakistan
Umar Gul,-,2007/09/18,Pakistan
Sohail Tanvir,-,2007/09/18,Pakistan
Umar Gul,-,2007/09/20,Pakistan
Sohail Tanvir,-,2007/09/20,Pakistan
Mohammad Asif,-,2007/09/20,Pakistan
Fawad Alam,-,2007/09/22,Pakistan
Mohammad Asif,-,2007/09/22,Pakistan
Sohail Tanvir,-,2007/09/22,Pakistan
Kamran Akmal,-,2007/09/22,Pakistan
Umar Gul,-,2007/09/22,Pakistan
Umar Gul,-,2008/04/20,Pakistan
Mansoor Amjad,-,2008/04/20,Pakistan
Wahab Riaz,-,2008/04/20,Pakistan
Sohail Tanvir,-,2008/04/20,Pakistan
Shoaib Akhtar,-,2008/10/10,Pakistan
Sohail Khan,-,2008/10/10,Pakistan
Shoaib Akhtar,-,2008/10/11,Pakistan
Umar Gul,-,2008/10/11,Pakistan
Kamran Akmal,-,2008/10/12,Pakistan
Misbah-ul-Haq,-,2008/10/12,Pakistan
Umar Gul,-,2008/10/12,Pakistan
Anwar Ali,-,2008/10/12,Pakistan
Shoaib Malik,-,2008/10/12,Pakistan
Abdur Rauf,-,2008/10/12,Pakistan
Shoaib Akhtar,-,2008/10/13,Pakistan
Sohail Tanvir,-,2008/10/13,Pakistan
Saeed Ajmal,-,2009/05/07,Pakistan
Umar Gul,-,2009/05/07,Pakistan
Shahid Afridi,-,2009/05/07,Pakistan
Fawad Alam,-,2009/05/07,Pakistan
Shoaib Akhtar,-,2009/05/07,Pakistan
Sohail Tanvir,-,2009/05/07,Pakistan
Saeed Ajmal,-,2009/06/07,Pakistan
Mohammad Amir,-,2009/06/07,Pakistan
Sohail Tanvir,-,2009/06/09,Pakistan
Saeed Ajmal,-,2009/06/09,Pakistan
Mohammad Amir,-,2009/06/09,Pakistan
Umar Gul,-,2009/06/09,Pakistan
Saeed Ajmal,-,2009/06/13,Pakistan
Umar Gul,-,2009/06/13,Pakistan
Fawad Alam,-,2009/06/13,Pakistan
Misbah-ul-Haq,-,2009/06/13,Pakistan
Mohammad Amir,-,2009/06/13,Pakistan
Umar Gul,-,2009/06/15,Pakistan
Fawad Alam,-,2009/06/15,Pakistan
Mohammad Amir,-,2009/06/15,Pakistan
Saeed Ajmal,-,2009/06/15,Pakistan
Fawad Alam,-,2009/06/18,Pakistan
Misbah-ul-Haq,-,2009/06/18,Pakistan
Mohammad Amir,-,2009/06/18,Pakistan
Saeed Ajmal,-,2009/06/18,Pakistan
Umar Gul,-,2009/06/18,Pakistan
Abdul Razzaq,-,2009/06/21,Pakistan
Misbah-ul-Haq,-,2009/06/21,Pakistan
Mohammad Amir,-,2009/06/21,Pakistan
Saeed Ajmal,-,2009/06/21,Pakistan
Umar Gul,-,2009/06/21,Pakistan
Younis Khan,-,2009/06/21,Pakistan
Fawad Alam,-,2009/06/21,Pakistan
Naved-ul-Hasan,-,2009/08/12,Pakistan
Saeed Ajmal,-,2009/08/12,Pakistan
Iftikhar Anjum,-,2009/08/12,Pakistan
Mohammad Amir,-,2009/08/12,Pakistan
Saeed Ajmal,-,2009/11/12,Pakistan
Umar Gul,-,2009/11/12,Pakistan
Sohail Tanvir,-,2009/11/13,Pakistan
Saeed Ajmal,-,2009/11/13,Pakistan
Mohammad Amir,-,2009/11/13,Pakistan
Umar Gul,-,2009/11/13,Pakistan
Saeed Ajmal,-,2010/02/19,Pakistan
Sarfaraz Ahmed,-,2010/02/20,Pakistan
Saeed Ajmal,-,2010/02/20,Pakistan
Umar Gul,-,2010/02/20,Pakistan
Umar Akmal,-,2010/05/01,Pakistan
Mohammad Hafeez,-,2010/05/01,Pakistan
Mohammad Sami,-,2010/05/01,Pakistan
Saeed Ajmal,-,2010/05/01,Pakistan
Fawad Alam,-,2010/05/01,Pakistan
Mohammad Amir,-,2010/05/01,Pakistan
Mohammad Amir,-,2010/05/08,Pakistan
Mohammad Sami,-,2010/05/08,Pakistan
Saeed Ajmal,-,2010/05/08,Pakistan
Saeed Ajmal,-,2010/05/10,Pakistan
Mohammad Amir,-,2010/05/10,Pakistan
Abdur Rehman,-,2010/05/14,Pakistan
Mohammad Hafeez,-,2010/05/14,Pakistan
Saeed Ajmal,-,2010/05/14,Pakistan
Mohammad Amir,-,2010/05/14,Pakistan
Shoaib Akhtar,-,2010/07/05,Pakistan
Saeed Ajmal,-,2010/07/05,Pakistan
Wahab Riaz,-,2010/09/05,Pakistan
Shoaib Akhtar,-,2010/09/05,Pakistan
Umar Gul,-,2010/09/05,Pakistan
Saeed Ajmal,-,2010/09/05,Pakistan
Abdul Razzaq,-,2010/09/05,Pakistan
Shoaib Akhtar,-,2010/10/27,Pakistan
Tanvir Ahmed,-,2010/12/30,Pakistan
Abdur Rehman,-,2010/12/30,Pakistan
Saeed Ajmal,-,2010/12/30,Pakistan
Aizaz Cheema,-,2011/09/16,Pakistan
Misbah-ul-Haq,-,2011/09/16,Pakistan
Yasir Shah,-,2011/09/16,Pakistan
Sohail Khan,-,2011/09/16,Pakistan
Saeed Ajmal,-,2011/09/16,Pakistan
Sohail Khan,-,2011/09/18,Pakistan
Junaid Khan,-,2011/09/18,Pakistan
Umar Gul,-,2011/11/25,Pakistan
Aizaz Cheema,-,2011/11/25,Pakistan
Sohail Tanvir,-,2011/11/25,Pakistan
Saeed Ajmal,-,2011/11/25,Pakistan
Aizaz Cheema,-,2011/11/29,Pakistan
Saeed Ajmal,-,2011/11/29,Pakistan
Saeed Ajmal,-,2012/02/23,Pakistan
Umar Gul,-,2012/02/23,Pakistan
Junaid Khan,-,2012/02/23,Pakistan
Hammad Azam,-,2012/02/23,Pakistan
Aizaz Cheema,-,2012/02/27,Pakistan
Saeed Ajmal,-,2012/02/27,Pakistan
Shoaib Malik,-,2012/02/27,Pakistan
Umar Gul,-,2012/02/27,Pakistan
Saeed Ajmal,-,2012/06/03,Pakistan
Mohammad Sami,-,2012/06/03,Pakistan
Shakeel Ansar,-,2012/06/03,Pakistan
Saeed Ajmal,-,2012/09/05,Pakistan
Umar Akmal,-,2012/09/05,Pakistan
Umar Gul,-,2012/09/05,Pakistan
Raza Hasan,-,2012/09/05,Pakistan
Sohail Tanvir,-,2012/09/05,Pakistan
Abdul Razzaq,-,2012/09/05,Pakistan
Shoaib Malik,-,2012/09/07,Pakistan
Umar Gul,-,2012/09/07,Pakistan
Raza Hasan,-,2012/09/07,Pakistan
Sohail Tanvir,-,2012/09/07,Pakistan
Saeed Ajmal,-,2012/09/07,Pakistan
Sohail Tanvir,-,2012/09/23,Pakistan
Yasir Arafat,-,2012/09/23,Pakistan
Saeed Ajmal,-,2012/09/23,Pakistan
Umar Gul,-,2012/09/23,Pakistan
Umar Gul,-,2012/09/25,Pakistan
Shahid Afridi,-,2012/09/25,Pakistan
Yasir Arafat,-,2012/09/25,Pakistan
Sohail Tanvir,-,2012/09/25,Pakistan
Umar Akmal,-,2012/09/25,Pakistan
Shoaib Malik,-,2012/09/25,Pakistan
Saeed Ajmal,-,2012/09/25,Pakistan
Raza Hasan,-,2012/09/28,Pakistan
Saeed Ajmal,-,2012/10/02,Pakistan
Raza Hasan,-,2012/10/02,Pakistan
Umar Gul,-,2012/10/02,Pakistan
Saeed Ajmal,-,2012/10/04,Pakistan
Raza Hasan,-,2012/10/04,Pakistan
Saeed Ajmal,-,2012/12/25,Pakistan
Umar Gul,-,2012/12/25,Pakistan
Sohail Tanvir,-,2012/12/25,Pakistan
Mohammad Irfan,-,2012/12/25,Pakistan
Sohail Tanvir,-,2012/12/28,Pakistan
Mohammad Irfan,-,2012/12/28,Pakistan
Saeed Ajmal,-,2012/12/28,Pakistan
Mohammad Irfan,-,2013/03/03,Pakistan
Junaid Khan,-,2013/03/03,Pakistan
Mohammad Irfan,-,2013/07/27,Pakistan
Asad Ali,-,2013/07/28,Pakistan
Saeed Ajmal,-,2013/07/28,Pakistan
Saeed Ajmal,-,2013/08/23,Pakistan
Sarfaraz Ahmed,-,2013/08/23,Pakistan
Mohammad Irfan,-,2013/08/23,Pakistan
Sohail Tanvir,-,2013/08/23,Pakistan
Zulfiqar Babar,-,2013/08/24,Pakistan
Asad Ali,-,2013/08/24,Pakistan
Umar Amin,-,2013/08/24,Pakistan
Sohaib Maqsood,-,2013/08/24,Pakistan
Sarfaraz Ahmed,-,2013/08/24,Pakistan
Shahid Afridi,-,2013/08/24,Pakistan
Sohail Tanvir,-,2013/08/24,Pakistan
Anwar Ali,-,2013/08/24,Pakistan
Mohammad Irfan,-,2013/11/13,Pakistan
Junaid Khan,-,2013/11/20,Pakistan
Anwar Ali,-,2013/11/20,Pakistan
Umar Amin,-,2013/11/20,Pakistan
Sohaib Maqsood,-,2013/11/20,Pakistan
Sohail Tanvir,-,2013/11/20,Pakistan
Bilawal Bhatti,-,2013/11/20,Pakistan
Shahid Afridi,-,2013/11/20,Pakistan
Sohail Tanvir,-,2013/11/22,Pakistan
Umar Amin,-,2013/11/22,Pakistan
Saeed Ajmal,-,2013/11/22,Pakistan
Bilawal Bhatti,-,2013/11/22,Pakistan
Junaid Khan,-,2013/11/22,Pakistan
Zulfiqar Babar,-,2013/12/08,Pakistan
Bilawal Bhatti,-,2013/12/08,Pakistan
Junaid Khan,-,2013/12/08,Pakistan
Sohail Tanvir,-,2013/12/08,Pakistan
Umar Amin,-,2013/12/08,Pakistan
Usman Shinwari,-,2013/12/11,Pakistan
Saeed Ajmal,-,2013/12/11,Pakistan
Saeed Ajmal,-,2014/03/21,Pakistan
Junaid Khan,-,2014/03/21,Pakistan
Umar Gul,-,2014/03/21,Pakistan
Umar Gul,-,2014/03/23,Pakistan
Zulfiqar Babar,-,2014/03/23,Pakistan
Bilawal Bhatti,-,2014/03/23,Pakistan
Saeed Ajmal,-,2014/03/23,Pakistan
Zulfiqar Babar,-,2014/03/30,Pakistan
Saeed Ajmal,-,2014/03/30,Pakistan
Sohail Tanvir,-,2014/03/30,Pakistan
Umar Gul,-,2014/03/30,Pakistan
Raza Hasan,-,2014/12/04,Pakistan
Mohammad Irfan,-,2014/12/04,Pakistan
Sohail Tanvir,-,2014/12/04,Pakistan
Saad Nasim,-,2014/12/04,Pakistan
Shahid Afridi,-,2014/12/04,Pakistan
Anwar Ali,-,2014/12/04,Pakistan
Wahab Riaz,-,2015/04/24,Pakistan
Umar Gul,-,2015/04/24,Pakistan
Mohammad Rizwan,-,2015/04/24,Pakistan
Saeed Ajmal,-,2015/04/24,Pakistan
Sarfaraz Ahmed,-,2015/04/24,Pakistan
Wahab Riaz,-,2015/05/22,Pakistan
Bilawal Bhatti,-,2015/05/22,Pakistan
Mohammad Sami,-,2015/05/22,Pakistan
Anwar Ali,-,2015/05/22,Pakistan
Mohammad Sami,-,2015/05/24,Pakistan
Imad Wasim,-,2015/07/30,Pakistan
Mohammad Rizwan,-,2015/07/30,Pakistan
Mohammad Irfan,-,2015/07/30,Pakistan
Sohail Tanvir,-,2015/07/30,Pakistan
Imran Khan (1),-,2015/09/27,Pakistan
Sohail Tanvir,-,2015/09/27,Pakistan
Sohail Tanvir,-,2015/09/29,Pakistan
Mohammad Irfan,-,2015/09/29,Pakistan
Imran Khan (1),-,2015/09/29,Pakistan
Wahab Riaz,-,2015/11/27,Pakistan
Aamer Yamin,-,2015/11/30,Pakistan
Mohammad Irfan,-,2015/11/30,Pakistan
Mohammad Amir,-,2016/01/15,Pakistan
Umar Gul,-,2016/01/17,Pakistan
Mohammad Amir,-,2016/01/17,Pakistan
Mohammad Amir,-,2016/02/29,Pakistan
Shahid Afridi,-,2016/02/29,Pakistan
Mohammad Nawaz (3),-,2016/02/29,Pakistan
Sarfaraz Ahmed,-,2016/02/29,Pakistan
Mohammad Irfan,-,2016/02/29,Pakistan
Mohammad Sami,-,2016/02/29,Pakistan
Mohammad Amir,-,2016/03/02,Pakistan
Mohammad Sami,-,2016/03/02,Pakistan
Mohammad Irfan,-,2016/03/02,Pakistan
Mohammad Irfan,-,2016/03/04,Pakistan
Mohammad Amir,-,2016/03/04,Pakistan
Wahab Riaz,-,2016/03/04,Pakistan
Shahid Afridi,-,2016/03/04,Pakistan
Mohammad Nawaz (3),-,2016/03/04,Pakistan
Mohammad Irfan,-,2016/03/16,Pakistan
Wahab Riaz,-,2016/03/16,Pakistan
Mohammad Amir,-,2016/03/16,Pakistan
Sarfaraz Ahmed,-,2016/03/16,Pakistan
Mohammad Sami,-,2016/03/19,Pakistan
Mohammad Irfan,-,2016/03/19,Pakistan
Wahab Riaz,-,2016/03/19,Pakistan
Mohammad Amir,-,2016/03/19,Pakistan
Mohammad Sami,-,2016/03/22,Pakistan
Mohammad Irfan,-,2016/03/22,Pakistan
Imad Wasim,-,2016/03/22,Pakistan
Mohammad Amir,-,2016/03/22,Pakistan
Mohammad Amir,-,2016/03/25,Pakistan
Shoaib Malik,-,2016/09/07,Pakistan
Imad Wasim,-,2016/09/07,Pakistan
Mohammad Rizwan,-,2016/09/07,Pakistan
Sarfaraz Ahmed,-,2016/09/07,Pakistan
Hasan Ali,-,2016/09/07,Pakistan
Wahab Riaz,-,2016/09/07,Pakistan
Sohail Tanvir,-,2016/09/07,Pakistan
Mohammad Amir,-,2016/09/07,Pakistan
Sarfaraz Ahmed,-,2016/09/23,Pakistan
Mohammad Nawaz (3),-,2016/09/23,Pakistan
Wahab Riaz,-,2016/09/23,Pakistan
Hasan Ali,-,2016/09/23,Pakistan
Sohail Tanvir,-,2016/09/23,Pakistan
Umar Akmal,-,2016/09/23,Pakistan
Shoaib Malik,-,2016/09/23,Pakistan
Imad Wasim,-,2016/09/23,Pakistan
Hasan Ali,-,2016/09/24,Pakistan
Wahab Riaz,-,2016/09/24,Pakistan
Sohail Tanvir,-,2016/09/24,Pakistan
Imad Wasim,-,2016/09/24,Pakistan
Mohammad Nawaz (3),-,2016/09/24,Pakistan
Imad Wasim,-,2016/09/27,Pakistan
Umar Akmal,-,2016/09/27,Pakistan
Sarfaraz Ahmed,-,2016/09/27,Pakistan
Mohammad Nawaz (3),-,2016/09/27,Pakistan
Sohail Tanvir,-,2016/09/27,Pakistan
Mohammad Amir,-,2016/09/27,Pakistan
Rumman Raees,-,2016/09/27,Pakistan
Sohail Tanvir,-,2017/03/26,Pakistan
Imad Wasim,-,2017/03/26,Pakistan
Hasan Ali,-,2017/03/26,Pakistan
Shadab Khan,-,2017/03/26,Pakistan
Wahab Riaz,-,2017/03/26,Pakistan
Hasan Ali,-,2017/04/01,Pakistan
Imad Wasim,-,2017/04/02,Pakistan
Rumman Raees,-,2017/04/02,Pakistan
Fakhar Zaman,-,2017/04/02,Pakistan
Hasan Ali,-,2017/04/02,Pakistan
Wahab Riaz,-,2017/04/02,Pakistan
Shadab Khan,-,2017/04/02,Pakistan
Sohail Khan,-,2017/09/12,Pakistan
Hasan Ali,-,2017/09/12,Pakistan
Rumman Raees,-,2017/09/12,Pakistan
Shadab Khan,-,2017/09/12,Pakistan
Usman Shinwari,-,2017/09/13,Pakistan
Mohammad Nawaz (3),-,2017/09/13,Pakistan
Shadab Khan,-,2017/09/13,Pakistan
Rumman Raees,-,2017/09/13,Pakistan
Rumman Raees,-,2017/09/15,Pakistan
Shadab Khan,-,2017/09/15,Pakistan
Hasan Ali,-,2017/09/15,Pakistan
Mohammad Nawaz (3),-,2017/09/15,Pakistan
Usman Shinwari,-,2017/09/15,Pakistan
Sarfaraz Ahmed,-,2017/10/26,Pakistan
Faheem Ashraf,-,2017/10/26,Pakistan
Usman Shinwari,-,2017/10/26,Pakistan
Hasan Ali,-,2017/10/26,Pakistan
Shadab Khan,-,2017/10/26,Pakistan
Imad Wasim,-,2017/10/26,Pakistan
Usman Shinwari,-,2017/10/27,Pakistan
Sarfaraz Ahmed,-,2017/10/29,Pakistan
Mohammad Hafeez,-,2017/10/29,Pakistan
Mohammad Amir,-,2017/10/29,Pakistan
Hasan Ali,-,2017/10/29,Pakistan
Imad Wasim,-,2017/10/29,Pakistan
Shadab Khan,-,2017/10/29,Pakistan
Umar Amin,-,2018/01/25,Pakistan
Rumman Raees,-,2018/01/25,Pakistan
Shadab Khan,-,2018/01/25,Pakistan
Mohammad Amir,-,2018/01/25,Pakistan
Haris Sohail,-,2018/01/25,Pakistan
Shadab Khan,-,2018/01/28,Pakistan
Mohammad Amir,-,2018/01/28,Pakistan
Rumman Raees,-,2018/01/28,Pakistan
Mohammad Nawaz (3),-,2018/04/01,Pakistan
Hasan Ali,-,2018/04/01,Pakistan
Mohammad Amir,-,2018/04/01,Pakistan
Shadab Khan,-,2018/04/01,Pakistan
Mohammad Nawaz (3),-,2018/04/02,Pakistan
Faheem Ashraf,-,2018/04/02,Pakistan
Sarfaraz Ahmed,-,2018/04/02,Pakistan
Hasan Ali,-,2018/04/02,Pakistan
Mohammad Amir,-,2018/04/02,Pakistan
Shadab Khan,-,2018/04/02,Pakistan
Shadab Khan,-,2018/04/03,Pakistan
Sarfaraz Ahmed,-,2018/04/03,Pakistan
Shaheen Shah Afridi,-,2018/04/03,Pakistan
Mohammad Nawaz (3),-,2018/04/03,Pakistan
Faheem Ashraf,-,2018/04/03,Pakistan
Shoaib Malik,-,2018/04/03,Pakistan
Usman Shinwari,-,2018/04/03,Pakistan
Shadab Khan,-,2018/06/12,Pakistan
Mohammad Amir,-,2018/06/12,Pakistan
Mohammad Nawaz (3),-,2018/06/12,Pakistan
Faheem Ashraf,-,2018/06/12,Pakistan
Hasan Ali,-,2018/06/12,Pakistan
Mohammad Nawaz (3),-,2018/06/13,Pakistan
Hasan Ali,-,2018/06/13,Pakistan
Usman Shinwari,-,2018/06/13,Pakistan
Hasan Ali,-,2018/07/01,Pakistan
Usman Shinwari,-,2018/07/01,Pakistan
Shadab Khan,-,2018/07/01,Pakistan
Mohammad Nawaz (3),-,2018/07/01,Pakistan
Faheem Ashraf,-,2018/07/01,Pakistan
Mohammad Amir,-,2018/07/04,Pakistan
Shadab Khan,-,2018/07/04,Pakistan
Mohammad Nawaz (3),-,2018/07/04,Pakistan
Faheem Ashraf,-,2018/07/04,Pakistan
Asif Ali,-,2018/07/04,Pakistan
Hasan Ali,-,2018/07/04,Pakistan
Usman Shinwari,-,2018/07/05,Pakistan
Shaheen Shah Afridi,-,2018/07/05,Pakistan
Shaheen Shah Afridi,-,2018/07/08,Pakistan
Faheem Ashraf,-,2018/07/08,Pakistan
Mohammad Amir,-,2018/07/08,Pakistan
Hasan Ali,-,2018/07/08,Pakistan
Shadab Khan,-,2018/07/08,Pakistan
Shaheen Shah Afridi,-,2018/10/24,Pakistan
Shadab Khan,-,2018/10/26,Pakistan
Shaheen Shah Afridi,-,2018/10/26,Pakistan
Sarfaraz Ahmed,-,2018/10/26,Pakistan
Usman Shinwari,-,2018/10/28,Pakistan
Shadab Khan,-,2018/10/28,Pakistan
Sarfaraz Ahmed,-,2018/10/28,Pakistan
Hasan Ali,-,2018/10/28,Pakistan
Shaheen Shah Afridi,-,2018/10/31,Pakistan
Hasan Ali,-,2018/10/31,Pakistan
Shadab Khan,-,2018/10/31,Pakistan
Faheem Ashraf,-,2018/11/02,Pakistan
Hasan Ali,-,2018/11/02,Pakistan
Shadab Khan,-,2018/11/02,Pakistan
Imad Wasim,-,2018/11/02,Pakistan
Shaheen Shah Afridi,-,2018/11/02,Pakistan
Faheem Ashraf,-,2018/11/04,Pakistan
Usman Shinwari,-,2018/11/04,Pakistan
Imad Wasim,-,2018/11/04,Pakistan
Shadab Khan,-,2018/11/04,Pakistan
Sarfaraz Ahmed,-,2018/11/04,Pakistan
Waqas Maqsood,-,2018/11/04,Pakistan
Shaheen Shah Afridi,-,2019/02/03,Pakistan
Usman Shinwari,-,2019/02/03,Pakistan
Sarfaraz Ahmed,-,2019/05/05,Pakistan
Shaheen Shah Afridi,-,2019/05/05,Pakistan
Mohammad Hasnain,-,2019/05/05,Pakistan
Mohammad Amir,-,2019/10/09,Pakistan
Usman Shinwari,-,2019/10/09,Pakistan
Shadab Khan,-,2019/10/09,Pakistan
Wahab Riaz,-,2019/11/03,Pakistan
Mohammad Amir,-,2019/11/03,Pakistan
Mohammad Irfan,-,2019/11/03,Pakistan
Shadab Khan,-,2019/11/03,Pakistan
Mohammad Amir,-,2019/11/05,Pakistan
Mohammad Irfan,-,2019/11/05,Pakistan
Shadab Khan,-,2019/11/05,Pakistan
Muhammad Musa,-,2019/11/08,Pakistan
Mohammad Hasnain,-,2020/01/24,Pakistan
Haris Rauf,-,2020/01/24,Pakistan
Shadab Khan,-,2020/01/24,Pakistan
Shaheen Shah Afridi,-,2020/01/24,Pakistan
Imad Wasim,-,2020/01/25,Pakistan
Iftikhar Ahmed,-,2020/01/25,Pakistan
Haris Rauf,-,2020/01/25,Pakistan
Mohammad Rizwan,-,2020/01/25,Pakistan
Shadab Khan,-,2020/01/25,Pakistan
Shaheen Shah Afridi,-,2020/01/25,Pakistan
Shoaib Malik,-,2020/01/25,Pakistan
Mohammad Hasnain,-,2020/01/25,Pakistan
TM Dilshan,5,2011/08/06,Sri Lanka
DPMD Jayawardene,4,2010/05/03,Sri Lanka
DPMD Jayawardene,4,2010/05/07,Sri Lanka
TM Dilshan,2,2009/06/19,Sri Lanka
DPMD Jayawardene,3,2014/03/27,Sri Lanka
ST Jayasuriya,4,2007/09/14,Sri Lanka
DPMD Jayawardene,1,2011/08/08,Sri Lanka
DAS Gunaratne,5,2017/02/19,Sri Lanka
I Udana,6,2019/03/22,Sri Lanka
MDKJ Perera,4,2013/12/13,Sri Lanka
TM Dilshan,3,2016/03/17,Sri Lanka
AD Mathews,4,2016/01/10,Sri Lanka
ST Jayasuriya,3,2009/06/10,Sri Lanka
DPMD Jayawardene,2,2010/04/30,Sri Lanka
BKG Mendis,2,2019/09/01,Sri Lanka
BOP Fernando,3,2019/10/09,Sri Lanka
DPMD Jayawardene,1,2009/06/14,Sri Lanka
KC Sangakkara,2,2009/12/09,Sri Lanka
MDKJ Perera,1,2017/04/04,Sri Lanka
MDKJ Perera,7,2017/12/22,Sri Lanka
PBB Rajapaksa,6,2019/10/07,Sri Lanka
TM Dilshan,3,2012/09/27,Sri Lanka
TM Dilshan,1,2016/03/04,Sri Lanka
TM Dilshan,2,2013/08/06,Sri Lanka
TM Dilshan,1,2009/06/10,Sri Lanka
MDKJ Perera,2,2018/03/10,Sri Lanka
AD Mathews,5,2016/03/26,Sri Lanka
DPMD Jayawardene,1,2011/06/25,Sri Lanka
BKG Mendis,3,2018/02/18,Sri Lanka
KC Sangakkara,0,2009/09/04,Sri Lanka
KC Sangakkara,3,2010/05/07,Sri Lanka
N Dickwella,1,2017/01/25,Sri Lanka
